date,book,chapter,words
2026-06-01,claude-for-education,00-introduction-the-teacher-is-still-the-system,1631
2026-06-01,claude-for-education,00-introduction,595
2026-06-01,claude-for-education,01-what-claude-can-and-cannot-do-in-education,3034
2026-06-01,claude-for-education,02-learning-outcomes-before-prompts,3316
2026-06-01,claude-for-education,03-prompting-claude-like-an-instructional-designer,2747
2026-06-01,claude-for-education,04-lesson-planning-and-activity-design,2831
2026-06-01,claude-for-education,05-feedback-that-teaches,3509
2026-06-01,claude-for-education,06-differentiation-and-accessibility,2520
2026-06-01,claude-for-education,07-rubrics-exemplars-and-criteria,2662
2026-06-01,claude-for-education,08-assessment-in-the-age-of-claude,3598
2026-06-01,claude-for-education,09-privacy-student-data-and-institutional-boundaries,2784
2026-06-01,claude-for-education,10-student-use-from-ban-to-boundary,3041
2026-06-01,claude-for-education,11-research-advising-and-faculty-workflows,2944
2026-06-01,claude-for-education,12-capstone-a-claude-supported-unit,4449
